transaccion_id,fecha_transaccion,tipo_transaccion,estado,monto_total,metodo_pago,cliente_nombre,cliente_telefono,cliente_localidad,producto_id,producto_nombre,producto_talla,producto_color,producto_temporada,cantidad_comprada,vestido_estilo,vestido_precio_venta,vestido_precio_renta,vestido_en_oferta,vestido_condicion,vestido_rating_promedio,vestido_review_count,fecha_entrega,fecha_devolucion,multa_aplicada,reseña_rating,reseña_comentario,fecha_reseña
68906396d0cb854c8ff609b9,2023-12-27 06:45:10,Venta,Completada,950,efectivo,sofia.garcia@email.com,5512345678,Jaltocán,687e0d118639b437a0e4875c,Vestido Casual de Mezclilla,L,Azul Mezclilla,"Primavera, Otoño",1,Casual,950,,false,Nuevo,4.1,18,2023-12-27 23:45:10,,0,4,"El vestido superó mis expectativas, ¡lo recomiendo totalmente!",2024-02-05 06:45:10
68906396d0cb854c8ff609ba,2023-04-18 12:55:13,renta,Completada,1700,efectivo,isabel.vargas@example.com,1234567815,Choconamel,687e0dd08639b437a0e48796,Vestido de Noche con Cuello Halter y Abertura,M,Azul Cobalto,Todo el Año,1,De Noche,,1700,false,Nuevo,4.7,10,2023-04-19 00:55:13,2023-04-30 00:55:13,0,4,"Quedó perfecto para la ocasión, muy contenta con la compra/renta.",2023-04-30 12:55:13
68906396d0cb854c8ff609bb,2023-09-27 04:11:49,Venta,Completada,1000,transferencia_bancaria,patricia.guzman@example.com,1234567819,Guazalingo,687e0dd08639b437a0e487aa,Vestido Casual con Estampado Geométrico,M,Gris/Amarillo,"Primavera, Otoño",1,Casual,1000,,false,Nuevo,4.1,12,2023-09-27 22:11:49,,0,5,¡Excelente vestido! Me encantó el servicio en el local.,2023-11-10 04:11:49
68906396d0cb854c8ff609bc,2023-03-20 03:15:52,renta,Completada,902,efectivo,valeria.rojas@example.com,1234567823,Atlapeza,687e0dd08639b437a0e487bb,Vestido Corto de Satén con Cuello Cowl,S,Rosa Fucsia,Todo el Año,1,Cóctel,1600,,false,Nuevo,4.6,8,2023-03-21 01:15:52,2023-03-31 01:15:52,0,5,"El vestido superó mis expectativas, ¡lo recomiendo totalmente!",2023-04-30 03:15:52
68906396d0cb854c8ff609bd,2023-06-11 09:03:00,renta,Completada,1286,efectivo,hiasd12e@gmail.com,7713554706,Atlapeza,687c0b8f555de7433ad30a4e,Cielo de Cristal,M,Azul Pastel,"Verano, Primavera",1,Fiesta,2800,,false,Nuevo,4.7,14,2023-06-11 18:03:00,2023-06-23 18:03:00,0,4,"Me fascinó cómo me quedó, ¡lo recomiendo a todas mis amigas!",2023-06-19 09:03:00
68906396d0cb854c8ff609be,2023-05-17 05:51:42,Venta,Completada,1100,tarjeta_credito,ana.lopez@example.com,1234567891,Atlapeza,687e0d118639b437a0e4875d,Vestido Bohemio Blanco,M,Blanco,Verano,1,Bohemio,1100,,false,Nuevo,4.3,10,2023-05-17 22:51:42,,0,2,Podría mejorar la limpieza/condición del vestido al entregarlo.,2023-06-28 05:51:42
68906396d0cb854c8ff609bf,2023-03-02 08:07:54,renta,Completada,1252,transferencia_bancaria,elena.ramirez@example.com,1234567899,Guazalingo,687e0dd08639b437a0e487b9,Vestido Largo de Algodón con Cuello Tortuga,L,Verde Oliva,"Otoño, Invierno",1,Casual,1250,,false,Nuevo,3.9,11,2023-03-02 11:07:54,2023-03-18 11:07:54,0,4,"Quedó perfecto para la ocasión, muy contenta con la compra/renta.",2023-04-04 08:07:54
68906396d0cb854c8ff609c0,2023-03-18 11:00:21,renta,Completada,320,tarjeta_debito,hiasd12e@gmail.com,7713554706,Atlapeza,687c1952555de7433ad30aa1,Vestido Largo Terracota con Mangas Abullonadas,L,Terracota,"Otoño, Invierno",1,De Noche,,320,false,Excelente,4,6,2023-03-19 03:00:21,2023-03-24 03:00:21,0,4,"Quedó perfecto para la ocasión, muy contenta con la compra/renta.",2023-04-08 11:00:21
68906396d0cb854c8ff609c1,2023-08-26 04:17:56,Venta,Completada,1900,efectivo,ana.lopez@example.com,1234567891,Atlapeza,67e058358bbb15e17ae334ab,Vestido Sahara de Noche Negro con Tirantes,L,negro,Todo el Año,1,De Noche,1900,,false,Nuevo,4.5,12,2023-08-26 07:17:56,,0,4,Un diseño hermoso y la atención fue de primera. Volveré sin duda.,2023-09-19 04:17:56
68906396d0cb854c8ff609c2,2023-03-07 05:33:25,Venta,Completada,1100,efectivo,carmen.morales@example.com,1234567813,Huejutla de Reyes,687e0dd08639b437a0e487b0,Vestido Maxi de Lino con Volantes,M,Azul Claro,Verano,1,Casual,1100,,false,Nuevo,4.3,10,2023-03-07 18:33:25,,0,4,"El vestido superó mis expectativas, ¡lo recomiendo totalmente!",2023-04-07 05:33:25
